FileName,Char-Unigram,Char-Bigram,Char-Trigram,Word-Unigram,Word-Bigram,Word-Trigram
白马啸西风.txt,9.22508843800379,4.088619477280354,1.2115862086135938,9.53970390498186,3.0325893477778436,1.096183154838598
碧血剑.txt,9.75443296928964,5.675594531070023,1.7956274785238897,12.719245583752095,3.944271162658421,0.5177417719995384
飞狐外传.txt,9.624870473005096,5.5743729065132905,1.867548573151296,12.454744754635295,4.015038518019861,0.5518451396363014
连城诀.txt,9.51522521503827,5.090139273216617,1.6389494518915042,11.641213954513589,3.5332643966426187,0.6390373150958272
鹿鼎记.txt,9.658504947642212,6.019908856226015,2.4095841342598683,12.101716918166355,4.856240320600543,1.0693382474505564
三十三剑客图.txt,10.006702280111217,4.284418137467009,0.6506268500607597,12.48086678409849,1.8321930946145704,0.1194994970498638
射雕英雄传.txt,9.746818537989379,5.970435389841589,2.19870139900756,12.352769399162213,4.534497468485492,0.8739554156540115
神雕侠侣.txt,9.66276948494614,6.002450747703359,2.2827965074594037,12.28622561261935,4.880990693464363,0.8396653316433369
书剑恩仇录.txt,9.75233267606959,5.603884266556003,1.8641977182400145,12.625325739143207,4.118623326589042,0.5537031231901377
天龙八部.txt,9.78223920848531,6.114910314845294,2.351670452163231,12.560341968974678,4.7234773050337955,0.8841106209068402
侠客行.txt,9.4349417193626,5.380021510974171,1.8196495369916645,11.75100388648986,3.8828743033330433,0.7594620260149642
笑傲江湖.txt,9.51096025015471,5.86126956937636,2.3641307135686747,12.307028615532593,4.765487460734695,0.89800435736044
雪山飞狐.txt,9.501039509903068,4.801465402288319,1.3032003986109708,11.638587571458682,3.054784583030838,0.49610814299618666
倚天屠龙记.txt,9.701904876594483,5.988032131813833,2.27865055609262,12.559547402544272,4.619978709983253,0.8050932948936078
鸳鸯刀.txt,9.21076864007664,3.6564407745656013,0.8960336170279641,9.767974302436654,2.432741964427129,0.8447583940471478
越女剑.txt,8.782444128429535,3.109004359375482,0.8419520935697012,9.12786329158884,2.060499653176004,0.8271158082807178
total.txt,9.949226569841874,7.02477091916343,3.4959659750805328,13.125051200929075,6.37658509151549,1.391803412730457
